"","Station","Before","After"
"1",1,5.811287534144,5.89078511942102
"2",2,5.23059054858117,5.61472412357518
"3",3,5.5089385234012,4.90306337372857
"4",4,5.58985878148831,4.96785992142734
"5",5,5.5212804969423,6.09603400371906
"6",6,5.36816264517256,5.60800842177646
"7",7,5.85345659923168,5.165607469806
"8",8,5.37160228847607,5.64842479327211
"9",9,6.00552711416311,6.06440240975178
"10",10,5.38118577028427,6.26855803837949
"11",11,5.79146089626705,5.57085926051814
"12",12,6.08599361781033,5.62281918516932
"13",13,4.9833417896663,5.17105107444157
"14",14,5.31636336995479,5.83802920644938
"15",15,5.3600035990819,5.50800153721196
