StationCode,LandUse,PercentUrbanLandUse,Year,SampleDate,SumPyrethroid_ToxicUnits
403STCBQT,Urban,63.44744295,2016,6/1/16,194.4551215
403STCBQT,Urban,63.44744295,2013,5/29/13,118.2300002
403STCBQT,Urban,63.44744295,2011,6/9/11,98.9849647
403STCBQT,Urban,63.44744295,2015,5/5/15,83.16653174
403STCBQT,Urban,63.44744295,2014,6/3/14,73.44563622
403STCBQT,Urban,63.44744295,2012,5/15/12,69.01591141
403STCBQT,Urban,63.44744295,2010,5/26/10,56.15468714
404BLNAxx,Urban,95.21350709,2012,5/15/12,33.87692539
404BLNAxx,Urban,95.21350709,2014,5/14/14,32.21554473
405SGRA2x,Urban,97.631651,2012,5/10/12,27.28758361
404BLNAxx,Urban,95.21350709,2017,5/16/17,25.94980577
911TJHRxx,Urban,71.50466045,2014,5/14/14,20.55214145
801CCPT12,Urban,53.79291988,2011,5/25/11,19.28278558
404BLNAxx,Urban,95.21350709,2011,5/26/11,19.1907039
404BLNAxx,Urban,95.21350709,2013,5/14/13,19.1758423
404BLNAxx,Urban,95.21350709,2016,6/1/16,19.07168998
412LARWxx,Urban,94.86085523,2012,5/10/12,18.06811968
911TJHRxx,Urban,71.50466045,2015,4/23/15,17.64074192
911TJHRxx,Urban,71.50466045,2012,5/9/12,17.59481753
907SDRWAR,Urban,86.84553038,2012,5/9/12,16.07582551
911TJHRxx,Urban,71.50466045,2013,5/15/13,15.77215289
911TJHRxx,Urban,71.50466045,2010,5/25/10,15.67118103
404BLNAxx,Urban,95.21350709,2015,5/5/15,14.87951207
541MERECY,Urban,75.03449799,2012,6/12/12,14.28975585
801SDCxxx,Urban,90.84062605,2014,5/12/14,12.25762558
901SJSJC9,Urban,78.80614893,2016,5/19/16,12.23967227
801SDCxxx,Urban,90.84062605,2012,5/10/12,11.58560318
405SGRA2x,Urban,97.631651,2017,5/16/17,10.80192758
906LPLPC6,Urban,66.00881186,2012,5/9/12,9.801173001
404BLNAxx,Urban,95.21350709,2010,5/26/10,9.777751437
911TJHRxx,Urban,71.50466045,2011,5/25/11,9.724635926
405SGRA2x,Urban,97.631651,2013,5/14/13,9.624760584
310ARG,Urban,48.12992126,2012,5/16/12,8.998161774
405SGRA2x,Urban,97.631651,2014,5/12/14,8.630140219
906LPLPC6,Urban,66.00881186,2016,5/19/16,8.541637729
911TJHRxx,Urban,71.50466045,2016,5/19/16,7.288085979
801SDCxxx,Urban,90.84062605,2010,5/26/10,7.176745196
801CCPT12,Urban,53.79291988,2017,5/16/17,6.951468086
412LARWxx,Urban,94.86085523,2015,5/5/15,6.949185414
541MERECY,Urban,75.03449799,2016,7/27/16,6.905747223
801SDCxxx,Urban,90.84062605,2011,5/25/11,6.713515125
541MERECY,Urban,75.03449799,2011,7/21/11,6.694729109
205GUA020,Urban,99.81170408,2012,7/5/12,6.647359136
901SJSJC9,Urban,78.80614893,2015,5/4/15,6.544402162
207KIR020,Urban,81.68425055,2010,6/29/10,6.399643674
909SWRWSx,Urban,86.47093915,2012,5/9/12,6.385749995
412LARWxx,Urban,94.86085523,2016,6/1/16,6.169276933
207WAL020,Urban,98.3264527,2012,6/12/12,6.075690365
535STC206,Urban,94.86145026,2015,7/15/15,5.754299302
535STC206,Urban,94.86145026,2012,9/6/12,5.526690757
541STC516,Agriculture,9.665508254,2014,7/9/14,5.324468412
801SDCxxx,Urban,90.84062605,2015,5/5/15,5.210883446
907SDRWAR,Urban,86.84553038,2014,5/13/14,5.171589116
907SDRWAR,Urban,86.84553038,2013,5/15/13,4.872827455
206SON010,Open,16.96743193,2012,6/12/12,4.731150901
309DAV,Open,21.02141928,2012,6/5/12,4.728162255
801CCPT12,Urban,53.79291988,2013,5/16/13,4.614663572
309TDW,Ag/Urban,26.0856655,2016,6/15/16,4.3840302
901SJSJC9,Urban,78.80614893,2014,5/12/14,4.369851165
541MERECY,Urban,75.03449799,2013,6/25/13,4.222795996
801SDCxxx,Urban,90.84062605,2016,5/19/16,4.184832752
404BLNAxx,Urban,95.21350709,2008,5/20/08,4.176078081
801CCPT12,Urban,53.79291988,2016,5/19/16,4.152533016
541MERECY,Urban,75.03449799,2010,7/8/10,4.123387165
535STC206,Urban,94.86145026,2011,9/8/11,4.079045037
309TDW,Ag/Urban,26.0856655,2014,6/18/14,4.018233785
911TJHRxx,Urban,71.50466045,2017,5/3/17,3.941197625
909SWRWSx,Urban,86.47093915,2017,5/3/17,3.914705443
907SDRWAR,Urban,86.84553038,2016,5/19/16,3.779148326
801SDCxxx,Urban,90.84062605,2009,6/24/09,3.733259775
904ESCOxx,Urban,56.73274445,2010,5/24/10,3.670440638
205COY060,Urban,100,2011,7/21/11,3.637389552
204SLE030,Urban,98.37352138,2012,6/12/12,3.607334646
541MERECY,Urban,75.03449799,2014,6/24/14,3.591087243
901SJSJC9,Urban,78.80614893,2013,5/14/13,3.583412187
801CCPT12,Urban,53.79291988,2010,5/25/10,3.579215645
906LPLPC6,Urban,66.00881186,2017,5/3/17,3.515210595
309TDW,Ag/Urban,26.0856655,2008,7/21/08,3.513510607
907SDRWAR,Urban,86.84553038,2017,5/3/17,3.455033369
309TDW,Ag/Urban,26.0856655,2017,6/13/17,3.383715649
801CCPT12,Urban,53.79291988,2015,5/5/15,3.353251723
906LPLPC6,Urban,66.00881186,2013,5/15/13,3.259273484
403STCEST,Urban,61.28938369,2017,5/16/17,3.246531779
204SLE030,Urban,98.37352138,2008,6/17/08,3.206016429
412LARWxx,Urban,94.86085523,2014,5/14/14,3.128814259
412LARWxx,Urban,94.86085523,2013,5/14/13,2.998432493
801CCPT12,Urban,53.79291988,2014,5/14/14,2.94116081
541MERECY,Urban,75.03449799,2015,6/23/15,2.890066454
312SMA,Open,5.093615537,2011,7/14/11,2.864882059
309TDW,Ag/Urban,26.0856655,2012,6/5/12,2.838437436
307CML,Urban,28.05874008,2016,6/15/16,2.832830911
205COY060,Urban,100,2015,7/1/15,2.830238379
309TDW,Ag/Urban,26.0856655,2011,6/23/11,2.77769405
906LPLPC6,Urban,66.00881186,2015,4/23/15,2.711447872
204SMA020,Urban,89.17161114,2011,7/8/11,2.695210309
204SMA020,Urban,89.17161114,2014,6/25/14,2.653447593
535STC206,Urban,94.86145026,2010,9/1/10,2.640095028
